Datetime,Humidity,ID
2020053000,97.89,48688154
2020053001,98.19,48688154
2020053002,98.52,48688154
2020053003,98.94,48688154
2020053004,99.05,48688154
2020053005,97.90,48688154
2020053006,95.61,48688154
2020053007,88.27,48688154
2020053008,73.39,48688154
2020053009,63.55,48688154
2020053010,57.39,48688154
2020053011,53.43,48688154
2020053012,51.13,48688154
2020053013,50.23,48688154
2020053014,50.63,48688154
2020053015,52.42,48688154
2020053016,57.29,48688154
2020053017,65.03,48688154
2020053018,77.43,48688154
2020053019,83.24,48688154
2020053020,84.55,48688154
2020053021,86.48,48688154
2020053022,89.29,48688154
2020053023,88.12,48688154
2020053100,84.40,48688154
2020053101,82.89,48688154
2020053102,83.27,48688154
2020053103,84.21,48688154
2020053104,84.62,48688154
2020053105,80.12,48688154
2020053106,69.50,48688154
2020053107,58.63,48688154
2020053108,51.53,48688154
2020053109,47.15,48688154
2020053110,44.95,48688154
2020053111,43.80,48688154
2020053112,43.46,48688154
2020053113,43.97,48688154
2020053114,44.97,48688154
2020053115,46.83,48688154
2020053116,49.55,48688154
2020053117,53.62,48688154
2020053118,60.86,48688154
2020053119,68.07,48688154
2020053120,73.58,48688154
2020053121,77.29,48688154
2020053122,79.38,48688154
2020053123,82.85,48688154
2020060100,85.46,48688154
2020060101,87.18,48688154
2020060102,88.35,48688154
2020060103,88.39,48688154
2020060104,88.13,48688154
2020060105,82.65,48688154
2020060106,69.83,48688154
2020060107,58.00,48688154
2020060108,52.37,48688154
2020060109,49.45,48688154
2020060110,48.45,48688154
2020060111,48.35,48688154
2020060112,48.00,48688154
2020060113,47.45,48688154
2020060114,47.03,48688154
2020060115,47.32,48688154
2020060116,49.69,48688154
2020060117,57.13,48688154
2020060118,72.99,48688154
2020060119,78.95,48688154
2020060120,79.60,48688154
2020060121,75.65,48688154
2020060122,75.40,48688154
2020060123,81.46,48688154
2020060200,87.88,48688154
2020060201,92.43,48688154
2020060202,94.78,48688154
2020060203,96.28,48688154
2020060204,98.33,48688154
2020060205,91.20,48688154
2020060206,84.84,48688154
2020060207,81.58,48688154
2020060208,80.73,48688154
2020060209,73.49,48688154
2020060210,59.17,48688154
2020060211,52.04,48688154
2020060212,51.65,48688154
2020060213,51.22,48688154
2020060214,52.01,48688154
2020060215,53.19,48688154
2020060216,56.98,48688154
2020060217,65.15,48688154
2020060218,75.36,48688154
2020060219,83.63,48688154
2020060220,87.21,48688154
2020060221,89.51,48688154
2020060222,91.13,48688154
2020060223,92.81,48688154
2020060300,93.86,48688154
2020060301,94.60,48688154
2020060302,95.71,48688154
2020060303,96.66,48688154
2020060304,97.32,48688154
2020060305,95.92,48688154
2020060306,93.06,48688154
2020060307,87.22,48688154
2020060308,80.57,48688154
2020060309,75.98,48688154
2020060310,72.33,48688154
2020060311,73.22,48688154
2020060312,78.92,48688154
2020060313,82.64,48688154
2020060314,85.60,48688154
2020060315,89.30,48688154
2020060316,89.76,48688154
2020060317,90.85,48688154
