Datetime,Temperature,ID
2020053000,61.79,48688154
2020053001,61.52,48688154
2020053002,61.20,48688154
2020053003,61.05,48688154
2020053004,61.38,48688154
2020053005,62.78,48688154
2020053006,64.56,48688154
2020053007,66.52,48688154
2020053008,68.68,48688154
2020053009,70.48,48688154
2020053010,72.45,48688154
2020053011,74.32,48688154
2020053012,75.78,48688154
2020053013,76.64,48688154
2020053014,76.84,48688154
2020053015,76.26,48688154
2020053016,74.95,48688154
2020053017,73.02,48688154
2020053018,69.46,48688154
2020053019,65.98,48688154
2020053020,64.81,48688154
2020053021,63.37,48688154
2020053022,61.97,48688154
2020053023,60.96,48688154
2020053100,59.47,48688154
2020053101,57.47,48688154
2020053102,55.54,48688154
2020053103,54.03,48688154
2020053104,52.84,48688154
2020053105,53.51,48688154
2020053106,54.91,48688154
2020053107,56.68,48688154
2020053108,58.82,48688154
2020053109,60.94,48688154
2020053110,62.87,48688154
2020053111,64.53,48688154
2020053112,65.79,48688154
2020053113,66.56,48688154
2020053114,66.70,48688154
2020053115,66.18,48688154
2020053116,64.92,48688154
2020053117,63.03,48688154
2020053118,60.03,48688154
2020053119,56.43,48688154
2020053120,53.51,48688154
2020053121,51.15,48688154
2020053122,49.28,48688154
2020053123,47.50,48688154
2020060100,46.17,48688154
2020060101,45.18,48688154
2020060102,44.40,48688154
2020060103,44.11,48688154
2020060104,44.06,48688154
2020060105,46.40,48688154
2020060106,50.61,48688154
2020060107,54.84,48688154
2020060108,57.65,48688154
2020060109,59.81,48688154
2020060110,61.34,48688154
2020060111,62.53,48688154
2020060112,63.63,48688154
2020060113,64.92,48688154
2020060114,65.89,48688154
2020060115,66.24,48688154
2020060116,65.91,48688154
2020060117,64.56,48688154
2020060118,61.48,48688154
2020060119,58.21,48688154
2020060120,57.81,48688154
2020060121,57.92,48688154
2020060122,57.13,48688154
2020060123,55.27,48688154
2020060200,53.58,48688154
2020060201,52.52,48688154
2020060202,51.87,48688154
2020060203,51.28,48688154
2020060204,50.50,48688154
2020060205,52.79,48688154
2020060206,55.26,48688154
2020060207,57.47,48688154
2020060208,58.73,48688154
2020060209,61.16,48688154
2020060210,65.39,48688154
2020060211,67.95,48688154
2020060212,68.67,48688154
2020060213,69.58,48688154
2020060214,69.73,48688154
