Model,Accuracy,Precision,Recall,F1-score,CV Mean Score,CV Std Dev
OneVsOneClassifier,,,,,,
OneVsRestClassifier,,,,,,
OrdinalEncoder,,,,,,
OrthogonalMatchingPursuit,,,,,,
OrthogonalMatchingPursuitCV,,,,,,
OutputCodeClassifier,,,,,,
PCA,,,,,,
PLSCanonical,,,,,,
PLSRegression,,,,,,
PLSSVD,,,,,,
PassiveAggressiveClassifier,0.5076923076923077,0.7538461538461538,0.5076923076923077,0.35806938159879337,0.5729807692307692,0.07275749392054151
PassiveAggressiveRegressor,,,,,,
PatchExtractor,,,,,,
Perceptron,0.5538461538461539,0.5721222040370977,0.5538461538461539,0.5305916719170628,0.5950961538461538,0.09642672816872636
Pipeline,,,,,,
PoissonRegressor,,,,,,
PolynomialCountSketch,,,,,,
PolynomialFeatures,,,,,,
PowerTransformer,,,,,,
QuadraticDiscriminantAnalysis,0.5538461538461539,0.6646153846153846,0.5538461538461539,0.4558245590503655,0.5545192307692307,0.05457681635214805
QuantileRegressor,,,,,,
QuantileTransformer,,,,,,
RANSACRegressor,,,,,,
RBFSampler,,,,,,
RFE,,,,,,
RFECV,,,,,,
RadiusNeighborsClassifier,,,,,,
RadiusNeighborsRegressor,0.5538461538461539,0.6646153846153846,0.5538461538461539,0.4558245590503655,-0.16285434995112413,0.32570869990224827
RadiusNeighborsTransformer,,,,,,
RandomForestClassifier,0.676923076923077,0.6779840848806367,0.676923076923077,0.6760019737924228,0.6134134615384615,0.10370554494227949
RandomForestRegressor,,,,,,
RandomTreesEmbedding,,,,,,
RandomizedSearchCV,,,,,,
RegressorChain,,,,,,
Ridge,,,,,,
RidgeCV,,,,,,
RidgeClassifier,0.5538461538461539,0.5536855933440373,0.5538461538461539,0.5536347566198312,0.5575961538461538,0.0807959262202432
RidgeClassifierCV,0.5846153846153846,0.5847480106100796,0.5846153846153846,0.5834311091616865,0.5575,0.08593693181630352
RobustScaler,,,,,,
SGDClassifier,0.5230769230769231,0.7540865384615385,0.5230769230769231,0.37527695672025574,0.5171634615384615,0.030626018881734836
SGDOneClassSVM,,,,,,
SGDRegressor,,,,,,
